topic,cntry,year,attitude,dweight
atchctr,DE,2006,7,0
atchctr,DE,2006,8,0
atchctr,DE,2006,9,0
atchctr,DE,2006,10,0
atchctr,DE,2006,NA,2915.9588
atchctr,DE,2008,0,0
atchctr,DE,2008,1,0
atchctr,DE,2008,2,0
atchctr,DE,2008,3,0
atchctr,DE,2008,4,0
atchctr,DE,2008,5,0
atchctr,DE,2008,6,0
atchctr,DE,2008,7,0
atchctr,DE,2008,8,0
atchctr,DE,2008,9,0
atchctr,DE,2008,10,0
atchctr,DE,2008,NA,2750.9419000000003
atchctr,DE,2010,0,0
atchctr,DE,2010,1,0
atchctr,DE,2010,2,0
atchctr,DE,2010,3,0
atchctr,DE,2010,4,0
atchctr,DE,2010,5,0
atchctr,DE,2010,6,0
atchctr,DE,2010,7,0
atchctr,DE,2010,8,0
atchctr,DE,2010,9,0
atchctr,DE,2010,10,0
atchctr,DE,2010,NA,3031.954
atchctr,DE,2012,0,0
atchctr,DE,2012,1,0
atchctr,DE,2012,2,0
atchctr,DE,2012,3,0
atchctr,DE,2012,4,0
atchctr,DE,2012,5,0
atchctr,DE,2012,6,0
atchctr,DE,2012,7,0
atchctr,DE,2012,8,0
atchctr,DE,2012,9,0
atchctr,DE,2012,10,0
atchctr,DE,2012,NA,2957.9999999999936
atchctr,DE,2014,0,0
atchctr,DE,2014,1,0
atchctr,DE,2014,2,0
atchctr,DE,2014,3,0
atchctr,DE,2014,4,0
atchctr,DE,2014,5,0
atchctr,DE,2014,6,0
atchctr,DE,2014,7,0
atchctr,DE,2014,8,0
atchctr,DE,2014,9,0
atchctr,DE,2014,10,0
atchctr,DE,2014,NA,3044.999999999997
atchctr,DE,2016,0,24.104246973991422
atchctr,DE,2016,1,21.630236506462122
atchctr,DE,2016,2,45.82310467958455
atchctr,DE,2016,3,94.1202198266984
atchctr,DE,2016,4,91.6462093591691
atchctr,DE,2016,5,222.80716586113
atchctr,DE,2016,6,228.00184953212764
atchctr,DE,2016,7,443.7916882634168
atchctr,DE,2016,8,680.8225685358055
atchctr,DE,2016,9,431.88025122880987
